ERCC,ercc_ref,Quartile,Gosling_1_TagSeq,Gosling_2_TagSeq,Roberts_1_TagSeq,Roberts_2_TagSeq,Gosling_1_TruSeq,Gosling_2_TruSeq,Roberts_1_TruSeq,Roberts_2_TruSeq
ERCC-00097,0.45776367,1,4,3,0,2,890,942,1674,1587
,,,,,,,,,,
ERCC-00156,0.45776367,1,2,0,2,2,12,16,25,16
,,,,,,,,,,
ERCC-00158,0.45776367,1,3,5,5,8,13,15,25,20
,,,,,,,,,,
ERCC-00164,0.45776367,1,6,7,10,13,24,25,36,40
,,,,,,,,,,
ERCC-00168,0.45776367,1,25,12,23,14,56,71,106,97
,,,,,,,,,,
ERCC-00016,0.22888184,1,2,0,1,1,47,38,73,89
,,,,,,,,,,
ERCC-00024,0.22888184,1,4,4,2,3,128,146,259,218
,,,,,,,,,,
ERCC-00041,0.22888184,1,0,0,2,0,8,4,14,13
,,,,,,,,,,
ERCC-00081,0.22888184,1,0,1,1,0,135,182,326,270
,,,,,,,,,,
ERCC-00104,0.22888184,1,1,2,1,2,3,5,27,11
,,,,,,,,,,
ERCC-00123,0.22888184,1,2,0,1,4,32,29,64,31
,,,,,,,,,,
ERCC-00142,0.22888184,1,2,1,1,0,17,16,42,22
,,,,,,,,,,
ERCC-00012,0.11444092,1,6,2,2,2,34,50,131,107
,,,,,,,,,,
ERCC-00017,0.11444092,1,2,1,1,0,16,11,34,25
,,,,,,,,,,
ERCC-00086,0.11444092,1,3,5,1,4,13,24,35,29
,,,,,,,,,,
ERCC-00138,0.11444092,1,6,1,6,8,32,31,77,56
,,,,,,,,,,
ERCC-00061,0.05722046,1,0,2,0,0,56,70,105,94
,,,,,,,,,,
ERCC-00098,0.05722046,1,2,0,0,1,108,121,260,193
,,,,,,,,,,
ERCC-00117,0.05722046,1,0,1,1,0,43,33,62,61
,,,,,,,,,,
ERCC-00083,0.02861023,1,3,2,0,1,47,50,85,81
,,,,,,,,,,
ERCC-00048,0.01430512,1,0,3,0,1,29,25,55,33
,,,,,,,,,,
ERCC-00057,0.01430512,1,0,0,0,0,NA,NA,6,NA
,,,,,,,,,,
ERCC-00075,0.01430512,1,0,1,2,3,66,60,134,100
