,OneH_Tru,ThreeH_Tru,SixH_Tru,SevenH_Tru
ENSGACG00000018954,6448,9809,10840,10761
ENSGACG00000018955,6,11,30,22
ENSGACG00000018962,946,1536,766,1689
ENSGACG00000018963,3,4,2,0
ENSGACG00000018965,15,20,99,87
ENSGACG00000018970,452,382,543,493
ENSGACG00000018971,127,87,111,143
ENSGACG00000018972,381,1301,5593,4086
ENSGACG00000018973,418,291,294,94
ENSGACG00000018974,140,59,44,18
ENSGACG00000018975,129,124,18,18
ENSGACG00000018976,1985,727,77,351
ENSGACG00000018977,325,196,49,43
ENSGACG00000018978,556,376,212,125
ENSGACG00000018979,3410,3256,6251,4810
ENSGACG00000018980,1090,846,1449,1393
ENSGACG00000018982,685,398,735,1055
ENSGACG00000018984,12,7,17,13
ENSGACG00000018986,12,20,22,46
ENSGACG00000018988,2802,2627,3618,4154
ENSGACG00000018991,3018,2516,4592,4806
ENSGACG00000019012,7634,6233,12006,13104
ENSGACG00000019019,1229,870,1836,2109
ENSGACG00000019021,144,113,327,261
ENSGACG00000019022,145,126,346,223
ENSGACG00000019023,90,170,286,405
ENSGACG00000019028,322,264,468,438
ENSGACG00000019029,3026,2114,5815,5816
ENSGACG00000019030,6,0,4,8
ENSGACG00000019031,71,46,26,16
ENSGACG00000019038,0,0,0,0
ENSGACG00000019040,93,68,159,63
ENSGACG00000019042,4074,3062,5217,6493
ENSGACG00000019044,227,262,509,333
ENSGACG00000019049,1570,1516,2787,3361
ENSGACG00000019050,1561,1338,2629,2748
ENSGACG00000019051,142,71,19,93
ENSGACG00000019052,94,89,32,376
ENSGACG00000019055,221,255,336,168
ENSGACG00000019057,2872,3035,5909,5055
ENSGACG00000019058,1346,1134,1983,2684
ENSGACG00000019069,1601,1601,3025,2478
ENSGACG00000019072,89,106,103,212
ENSGACG00000022354,6,5,64,31
ENSGACG00000022444,0,2,25,32
ENSGACG00000022425,32,19,8,2
ENSGACG00000019076,415,320,417,493
ENSGACG00000019078,2397,3116,4735,7235
ENSGACG00000019081,694,801,1630,3190
ENSGACG00000019083,459,229,202,188
ENSGACG00000019085,10906,9927,25321,23096
ENSGACG00000019088,4820,3410,5766,6486
ENSGACG00000019089,961,884,1380,1525
ENSGACG00000019094,54,36,78,95
ENSGACG00000019096,802,580,1763,1535
ENSGACG00000019099,1150,1470,3825,3840
ENSGACG00000019101,677,581,1282,894
ENSGACG00000019111,1817,2203,3544,3187
ENSGACG00000019117,867,788,2054,1221
ENSGACG00000019118,881,632,1374,1285
ENSGACG00000019119,4934,4110,9286,8610
ENSGACG00000019124,1874,2020,4592,4395
ENSGACG00000019126,191,132,211,394
ENSGACG00000019127,0,0,0,0
ENSGACG00000019130,222,163,580,824
ENSGACG00000019137,647,647,1214,1217
ENSGACG00000019138,495,391,1527,1895
ENSGACG00000019142,46775,45311,67980,76396
ENSGACG00000019152,688,824,1630,2335
ENSGACG00000019161,3124,3363,4199,4046
ENSGACG00000019166,1589,1378,2690,2382
ENSGACG00000019167,709,629,991,1148
ENSGACG00000019177,8,3,12,0
ENSGACG00000019178,303,227,706,554
ENSGACG00000019179,463,399,1251,1132
ENSGACG00000019180,1196,966,1678,1576
ENSGACG00000019194,181,149,229,287
ENSGACG00000019196,796,715,1336,1634
ENSGACG00000019197,1569,1364,2455,2898
ENSGACG00000019198,1310,903,1603,2167
ENSGACG00000019199,1285,1041,2071,2512
ENSGACG00000019201,1424,1468,2913,2937
ENSGACG00000019203,0,0,4,2
ENSGACG00000019205,955,495,1214,810
ENSGACG00000019210,2846,1563,6551,1375
ENSGACG00000019211,3664,3440,8270,6178
ENSGACG00000019213,794,781,999,1391
ENSGACG00000019232,0,2,0,9
ENSGACG00000019234,895,555,927,957
ENSGACG00000019244,2341,2124,3803,3990
ENSGACG00000019250,91,133,92,89
ENSGACG00000019255,48,102,126,99
ENSGACG00000019258,4301,3333,6969,6720
ENSGACG00000019261,13,6,5,8
ENSGACG00000019265,1047,922,1261,2032
ENSGACG00000019273,2245,2317,3262,3782
ENSGACG00000019275,1493,1261,2515,2210
ENSGACG00000019279,455,423,919,991
ENSGACG00000019280,692,401,1136,1328
ENSGACG00000019285,40,55,44,70
ENSGACG00000019286,43,38,127,188
ENSGACG00000019289,1211,1458,1827,1361
ENSGACG00000019294,5,1,9,16
ENSGACG00000019295,63,51,124,156
ENSGACG00000019297,1350,1399,3230,2809
ENSGACG00000019299,225,229,525,418
ENSGACG00000019300,530,750,1720,1250
ENSGACG00000019301,143,65,80,61
ENSGACG00000019304,1,4,20,0
ENSGACG00000019305,2,7,12,16
ENSGACG00000019306,563,513,1080,1098
ENSGACG00000019308,941,957,1760,1420
ENSGACG00000019312,5,75,10,14
ENSGACG00000019314,4,0,14,2
ENSGACG00000019316,602,582,809,1019
ENSGACG00000019318,4,12,13,8
ENSGACG00000019319,17543,17175,31904,23776
ENSGACG00000019324,2760,1723,4442,3419
ENSGACG00000019326,17072,10233,30849,26165
ENSGACG00000019328,431,380,605,630
ENSGACG00000019329,3544,3008,5373,6613
ENSGACG00000019331,384,343,721,704
ENSGACG00000019337,598,593,1277,1370
ENSGACG00000019338,159,174,374,500
ENSGACG00000019339,8280,6453,15475,15393
ENSGACG00000019347,336,212,403,136
ENSGACG00000019349,1039,936,1147,1256
ENSGACG00000019350,444,412,941,1061
ENSGACG00000019354,2,7,13,14
ENSGACG00000019355,0,2,2,0
ENSGACG00000019358,318,317,364,395
ENSGACG00000019360,63,59,76,91
ENSGACG00000019361,604,522,879,918
ENSGACG00000019362,966,710,1462,1398
ENSGACG00000019365,6,4,7,6
ENSGACG00000019366,1486,1073,2031,2268
ENSGACG00000019370,13619,15248,33034,36902
ENSGACG00000019375,0,3,10,4
ENSGACG00000019377,387,249,1037,919
ENSGACG00000019378,4623,4175,7314,7653
ENSGACG00000019384,0,5,0,16
ENSGACG00000019392,10,6,15,3
ENSGACG00000019393,2692,2463,4404,4306
ENSGACG00000019396,14485,14728,29859,31573
ENSGACG00000019398,465,366,699,732
ENSGACG00000019400,526,409,860,684
ENSGACG00000019402,385,352,502,752
ENSGACG00000019405,1916,1846,3344,3964
ENSGACG00000019408,42,17,42,64
ENSGACG00000019409,1008,772,1534,1335
ENSGACG00000019411,8,2,0,3
ENSGACG00000019414,1034,1116,1530,2771
ENSGACG00000019415,0,0,2,0
ENSGACG00000019416,0,0,0,0
ENSGACG00000019417,0,0,0,4
ENSGACG00000019418,18,51,33,78
ENSGACG00000019423,5,0,0,8
ENSGACG00000019425,117,61,111,151
ENSGACG00000019426,22,22,45,42
ENSGACG00000019427,61,52,139,107
ENSGACG00000019428,7001,6308,7699,7347
ENSGACG00000019429,1004,833,1426,1589
ENSGACG00000019430,30,12,22,23
ENSGACG00000019431,0,0,0,2
ENSGACG00000019432,48,42,121,101
ENSGACG00000019433,0,0,0,0
ENSGACG00000019434,113,60,118,142
ENSGACG00000019435,219,159,221,316
ENSGACG00000019436,390,296,597,570
ENSGACG00000019438,185,95,198,195
ENSGACG00000019443,640,649,906,1089
ENSGACG00000019450,1775,1203,2264,2227
ENSGACG00000019456,2936,2095,3790,3147
ENSGACG00000019458,6,2,0,12
ENSGACG00000019464,131,125,249,321
ENSGACG00000019471,644,651,1059,1335
ENSGACG00000019474,105,82,36,129
ENSGACG00000019482,2,4,2,2
ENSGACG00000019483,385,269,704,560
ENSGACG00000019484,2,0,16,7
ENSGACG00000019489,422,316,557,768
ENSGACG00000019493,300,286,110,135
ENSGACG00000019498,77,43,82,113
ENSGACG00000019499,267,177,343,387
ENSGACG00000019502,74,362,92,56
ENSGACG00000019503,167,224,290,303
ENSGACG00000019528,86,59,94,100
ENSGACG00000019533,10,3,1,17
ENSGACG00000019535,53,34,69,55
ENSGACG00000019536,234,240,524,447
ENSGACG00000019537,937,871,1947,2341
ENSGACG00000019539,1425,1272,3223,3367
ENSGACG00000019541,18,7,33,15
ENSGACG00000019543,867,816,1644,1400
ENSGACG00000019544,50,62,306,249
ENSGACG00000019546,11,9,2,6
ENSGACG00000019549,7484,6608,11401,12090
ENSGACG00000019569,51,29,60,47
ENSGACG00000019573,2218,2450,2492,2760
ENSGACG00000019574,584,711,605,1085
ENSGACG00000019575,21,17,16,73
ENSGACG00000019587,1283,923,1816,1335
ENSGACG00000019590,16,13,7,43
ENSGACG00000019593,60170,61921,118030,104157
ENSGACG00000019601,2476,2241,4307,4904
ENSGACG00000019605,159,62,197,229
ENSGACG00000019618,2307,1488,3198,3519
ENSGACG00000019629,96,56,188,260
ENSGACG00000019638,521,570,674,1588
ENSGACG00000019649,12,4,0,27
ENSGACG00000019650,865,831,1290,1237
ENSGACG00000019655,511,501,1010,915
ENSGACG00000022883,3,0,0,10
ENSGACG00000019656,217,190,361,458
ENSGACG00000022860,0,1,1,4
ENSGACG00000019658,3281,2533,5400,5658
ENSGACG00000019672,214,218,386,386
ENSGACG00000019677,590,398,726,776
ENSGACG00000019686,12,0,8,6
ENSGACG00000019688,784,615,1184,1626
ENSGACG00000019699,2269,2087,2901,1117
ENSGACG00000019700,11,0,22,14
ENSGACG00000019701,16,27,45,16
ENSGACG00000019708,14,10,26,10
ENSGACG00000019710,999,1076,2334,2036
ENSGACG00000019743,50,34,77,88
ENSGACG00000019745,2822,2507,4879,5709
ENSGACG00000019747,791,887,1900,1681
ENSGACG00000019750,74,57,130,155
ENSGACG00000019751,1659,1366,2258,2284
ENSGACG00000019753,2148,2193,3491,3857
ENSGACG00000019757,2143,1304,2677,2446
ENSGACG00000019758,1073,738,1132,1305
ENSGACG00000019760,443,367,560,522
ENSGACG00000019763,188,62,183,168
ENSGACG00000019764,78,58,168,155
ENSGACG00000019768,381,308,681,849
ENSGACG00000019770,586,512,1838,1419
ENSGACG00000019790,333,339,1018,1086
ENSGACG00000019794,975,1327,3630,2435
ENSGACG00000019799,0,0,0,0
ENSGACG00000019802,9,14,20,89
ENSGACG00000019803,50,19,46,74
ENSGACG00000019812,1132,877,2079,2199
ENSGACG00000022730,33,29,45,42
ENSGACG00000022390,96,57,121,133
ENSGACG00000022786,90,53,120,137
ENSGACG00000022650,37,26,50,54
ENSGACG00000022602,75,35,76,88
ENSGACG00000022446,5,7,2,0
ENSGACG00000022711,8,4,39,22
ENSGACG00000019819,8547,4972,9746,11808
ENSGACG00000022330,91,51,83,102
ENSGACG00000022420,85,97,122,151
ENSGACG00000022678,60,9,109,166
ENSGACG00000022377,4,1,5,20
ENSGACG00000022735,10,6,26,29
ENSGACG00000019824,255,156,227,380
ENSGACG00000019828,766,566,898,1354
ENSGACG00000019834,491,522,803,1057
ENSGACG00000019840,3216,3053,5280,5321
ENSGACG00000019844,1750,1745,3277,3432
ENSGACG00000019847,33215,28178,60680,58409
ENSGACG00000019861,122,59,49,92
ENSGACG00000019867,6517,4892,8436,10387
ENSGACG00000019870,1316,941,1731,2468
ENSGACG00000019876,1975,2611,3753,3709
ENSGACG00000019877,13,21,18,28
ENSGACG00000019881,989,688,1903,1362
ENSGACG00000019883,1569,1188,3296,2161
ENSGACG00000019884,85,49,45,123
ENSGACG00000019886,0,0,6,19
ENSGACG00000019888,9,18,17,28
ENSGACG00000019893,2,2,0,2
ENSGACG00000019894,0,0,0,0
ENSGACG00000019895,2,0,0,0
ENSGACG00000019896,2,13,6,11
ENSGACG00000019900,0,4,0,0
ENSGACG00000019902,4077,3756,6873,7582
ENSGACG00000019913,29,33,97,69
ENSGACG00000019917,29,18,22,38
ENSGACG00000019919,179,119,107,110
ENSGACG00000019920,864,742,1154,1323
ENSGACG00000019921,64,57,56,118
ENSGACG00000019922,48,38,84,100
ENSGACG00000019923,358,257,493,563
ENSGACG00000019924,292,201,433,511
ENSGACG00000019925,2000,1491,3497,3155
ENSGACG00000019927,14,14,19,19
ENSGACG00000019928,70,68,117,184
ENSGACG00000019930,0,3,5,0
ENSGACG00000019931,1108,937,1842,1898
ENSGACG00000019933,234,90,190,190
ENSGACG00000019935,62,11,6,15
ENSGACG00000019937,3998,4517,7064,5115
ENSGACG00000019941,161,145,159,278
ENSGACG00000019942,13,27,26,31
ENSGACG00000019943,30,21,32,25
ENSGACG00000019946,12,9,30,22
ENSGACG00000019947,26,0,7,33
ENSGACG00000019950,1090,1573,3217,2073
ENSGACG00000019951,10,6,0,4
ENSGACG00000019952,17,4,16,7
ENSGACG00000019953,0,0,0,0
ENSGACG00000019954,0,0,0,0
ENSGACG00000019958,15,12,90,69
ENSGACG00000019959,42,111,238,40
ENSGACG00000019960,191,133,377,85
ENSGACG00000019961,280,202,438,214
ENSGACG00000019963,4,2,10,24
ENSGACG00000019964,6,8,18,12
ENSGACG00000019965,17,10,6,4
ENSGACG00000019966,62,62,14,38
ENSGACG00000019968,19,4,17,2
ENSGACG00000019969,30,8,30,47
ENSGACG00000019971,4,0,0,0
ENSGACG00000019972,128,110,86,187
ENSGACG00000019974,21,18,15,4
ENSGACG00000019976,20,11,17,11
ENSGACG00000019978,97,58,32,131
ENSGACG00000019980,8230,7196,13026,13972
ENSGACG00000019982,814,855,2345,2133
ENSGACG00000019983,1377,838,1572,1895
ENSGACG00000019989,513,404,747,673
ENSGACG00000019991,691,654,1504,1706
ENSGACG00000019997,2166,1882,3865,3581
ENSGACG00000020001,64,209,450,345
ENSGACG00000020003,3609,3260,5701,7262
ENSGACG00000020005,160,119,208,275
ENSGACG00000020006,6389,5452,10560,12088
ENSGACG00000020016,4,8,29,36
ENSGACG00000020018,5842,5312,10267,9894
ENSGACG00000020022,217,206,538,576
ENSGACG00000020023,29,39,59,67
ENSGACG00000020024,10852,8164,13711,15535
ENSGACG00000020027,1327,1408,3718,4502
ENSGACG00000020028,1,0,0,2
ENSGACG00000020029,4,7,9,15
ENSGACG00000020030,242,199,352,329
ENSGACG00000020033,327,246,418,482
ENSGACG00000020035,1249,1056,1843,2009
ENSGACG00000020038,874,686,1256,1379
ENSGACG00000020039,1104,998,1862,2261
ENSGACG00000020043,2238,2317,4363,4827
ENSGACG00000020057,149,112,203,293
ENSGACG00000020061,42,32,1784,210
ENSGACG00000020062,815,481,1982,981
ENSGACG00000020063,783,529,1666,1015
ENSGACG00000020066,595,448,960,1374
ENSGACG00000020069,4071,4722,3687,8965
ENSGACG00000020071,1162,873,1401,1579
ENSGACG00000020072,101613,79681,167406,154111
ENSGACG00000022844,0,5,5,7
ENSGACG00000022890,7,2,5,6
ENSGACG00000020077,0,0,0,0
ENSGACG00000020078,3747,4141,7334,6525
ENSGACG00000020082,138,112,101,157
ENSGACG00000020084,1767,1998,3689,3254
ENSGACG00000020086,30727,19716,24803,28933
ENSGACG00000020088,2589,2396,4254,4120
ENSGACG00000020095,411,328,639,750
ENSGACG00000020096,1481,1143,2131,2549
ENSGACG00000020097,1994,1891,3303,3152
ENSGACG00000020099,10,3,8,5
ENSGACG00000020101,128,156,261,330
ENSGACG00000020103,0,0,0,0
ENSGACG00000020105,347,430,638,721
ENSGACG00000020106,0,1,2,3
ENSGACG00000020108,780,718,967,1573
ENSGACG00000020110,8,0,18,16
ENSGACG00000020111,251,214,346,442
ENSGACG00000020112,2173,2117,4392,4027
ENSGACG00000020113,2976,2198,2628,3668
ENSGACG00000020116,536,428,593,599
ENSGACG00000020117,24922,19755,33325,37213
ENSGACG00000021746,26,9,20,29
ENSGACG00000020118,17,8,16,23
ENSGACG00000020119,76,35,38,68
ENSGACG00000020120,2,0,6,2
ENSGACG00000020121,0,0,0,0
ENSGACG00000020123,300,225,164,249
ENSGACG00000020124,37,21,34,33
ENSGACG00000020125,0,0,3,6
ENSGACG00000020126,0,0,14,0
ENSGACG00000020127,94,60,116,131
ENSGACG00000020128,79,112,92,133
ENSGACG00000020129,14,31,47,33
ENSGACG00000020133,63,61,142,132
ENSGACG00000020135,311,137,212,496
ENSGACG00000020139,4,0,3,0
ENSGACG00000020141,70,82,323,40
ENSGACG00000020145,1432,1674,5855,674
ENSGACG00000020151,262,290,634,710
ENSGACG00000020152,698,603,801,1132
ENSGACG00000020153,268,321,434,473
ENSGACG00000020154,148,161,191,239
ENSGACG00000020155,3427,3368,5729,6343
ENSGACG00000021404,0,0,0,0
ENSGACG00000021393,0,0,0,0
ENSGACG00000022189,3,0,0,0
ENSGACG00000020156,9,5,6,8
ENSGACG00000020158,10,14,27,23
ENSGACG00000020159,1438,1238,2343,2574
ENSGACG00000020160,453,488,874,768
ENSGACG00000021295,0,0,0,0
ENSGACG00000021437,0,0,0,0
ENSGACG00000020161,2230,1572,2830,3126
ENSGACG00000020162,3,5,6,14
ENSGACG00000020163,5460,5338,11234,10849
ENSGACG00000020164,732,632,1117,1144
ENSGACG00000020165,1338,1274,1901,1905
ENSGACG00000020166,2,0,10,4
ENSGACG00000020167,7204,9251,15800,18229
ENSGACG00000020168,63,364,31,671
ENSGACG00000020169,21,11,9,22
ENSGACG00000020170,482,477,808,1012
ENSGACG00000020171,91,32,59,116
ENSGACG00000020172,42,41,57,23
ENSGACG00000020173,235,199,385,352
ENSGACG00000020174,3348,3393,5911,5998
ENSGACG00000020175,12,6,9,9
ENSGACG00000020176,1433,1270,2491,2985
ENSGACG00000020177,1,2,5,1
ENSGACG00000020178,0,2,0,2
ENSGACG00000020179,6458,6480,11528,11063
ENSGACG00000020180,364,335,548,568
ENSGACG00000020181,0,0,0,0
ENSGACG00000020182,399,359,651,717
ENSGACG00000020183,108,83,249,254
ENSGACG00000020184,0,0,6,0
ENSGACG00000020185,2,8,7,18
ENSGACG00000020186,2650,2590,4801,4555
ENSGACG00000020187,1,6,4,3
ENSGACG00000020188,25,22,32,48
ENSGACG00000020189,1,0,2,2
ENSGACG00000020190,14,2,1,24
ENSGACG00000020191,105,98,468,199
ENSGACG00000020192,36,29,70,63
ENSGACG00000020193,11043,10893,21566,23325
ENSGACG00000020194,1236,910,1940,2331
ENSGACG00000020195,53,54,81,107
ENSGACG00000020196,58,17,83,97
ENSGACG00000020197,1838,2036,3851,3766
ENSGACG00000020198,609,465,186,732
ENSGACG00000020199,6,8,7,4
ENSGACG00000020200,13,16,40,30
ENSGACG00000020201,5,5,7,6
ENSGACG00000020202,77,56,75,108
ENSGACG00000020203,638,724,1869,1679
ENSGACG00000020204,484,332,502,838
ENSGACG00000020205,309,218,398,396
ENSGACG00000020206,0,2,1,0
ENSGACG00000020207,187,190,534,386
ENSGACG00000020208,1817,1307,2434,2727
ENSGACG00000020209,28,41,61,119
ENSGACG00000020210,32,19,29,72
ENSGACG00000020211,0,16,2,6
ENSGACG00000020212,1346,1152,2121,2265
ENSGACG00000020213,1123,1112,1814,1650
ENSGACG00000020214,1316,1062,2195,2122
ENSGACG00000020215,799,587,1055,1403
ENSGACG00000021252,66,62,95,111
ENSGACG00000020216,6619,5756,9918,13906
ENSGACG00000020217,6982,6002,10253,12301
ENSGACG00000020218,2261,1903,3269,3910
ENSGACG00000020219,2,0,0,2
ENSGACG00000020220,6521,4078,8490,9300
ENSGACG00000020221,71,23,62,85
ENSGACG00000020222,14586,13854,32125,31508
ENSGACG00000020223,759,605,867,982
ENSGACG00000020224,738,676,1054,1480
ENSGACG00000020225,991,839,1645,2104
ENSGACG00000020226,2953,2686,3658,3601
ENSGACG00000020227,348,320,459,423
ENSGACG00000020228,2962,5477,6767,7290
ENSGACG00000020229,392,295,551,764
ENSGACG00000020230,3733,1625,3727,5445
ENSGACG00000020231,39,19,9,52
ENSGACG00000020232,17,11,39,24
ENSGACG00000020233,294,524,327,1003
ENSGACG00000020234,105,61,140,161
ENSGACG00000020235,0,4,4,4
ENSGACG00000020236,99,91,133,201
ENSGACG00000022230,87,87,151,107
ENSGACG00000022453,97,46,112,81
ENSGACG00000020237,1878,1167,1818,2148
ENSGACG00000020238,0,0,4,2
ENSGACG00000020239,1132,867,1284,1688
ENSGACG00000020240,1,0,3,0
ENSGACG00000020241,1735,1591,3255,3876
ENSGACG00000020242,371,234,620,587
ENSGACG00000020243,604,812,1519,1807
ENSGACG00000020244,1466,949,1643,1545
ENSGACG00000020245,68,30,76,170
ENSGACG00000020246,282,283,400,548
ENSGACG00000020247,1427,1269,2076,2042
ENSGACG00000020248,341,294,493,780
ENSGACG00000020249,6,2,4,3
ENSGACG00000020250,3058,3060,7220,7718
ENSGACG00000021516,108,59,98,69
ENSGACG00000021526,140,75,88,81
ENSGACG00000020251,1251,1155,1714,1601
ENSGACG00000020252,56,47,92,111
ENSGACG00000020253,764,711,895,1040
ENSGACG00000020254,599,562,924,775
ENSGACG00000020255,2265,1558,2711,2867
ENSGACG00000020256,7,4,28,37
ENSGACG00000020257,65252,65413,102650,110598
ENSGACG00000020258,49513,50080,82252,87214
ENSGACG00000020259,1110,910,1662,1588
ENSGACG00000020260,178,196,308,415
ENSGACG00000020261,400,557,548,530
ENSGACG00000020262,458,445,766,902
ENSGACG00000020263,2767,1560,4552,2662
ENSGACG00000020264,604,411,989,984
ENSGACG00000020265,1154,1062,1992,2296
ENSGACG00000020266,216,289,431,641
ENSGACG00000020267,312,157,292,348
ENSGACG00000020268,24,11,43,35
ENSGACG00000020269,387,489,1132,1375
ENSGACG00000020270,763,619,1577,1410
ENSGACG00000020271,190,88,32,18
ENSGACG00000020272,7675,5290,8301,10443
ENSGACG00000020273,542,531,773,961
ENSGACG00000020274,0,2,0,4
ENSGACG00000020275,1652,1411,2765,2455
ENSGACG00000020276,0,0,0,0
ENSGACG00000020277,0,0,0,0
ENSGACG00000020278,388,423,486,792
ENSGACG00000020279,781,697,1667,1572
ENSGACG00000020280,20,16,63,59
ENSGACG00000020281,0,2,0,0
ENSGACG00000020282,2,0,2,0
ENSGACG00000020283,0,0,0,2
ENSGACG00000020284,112,50,77,167
ENSGACG00000020285,7405,5723,7534,8520
ENSGACG00000020286,10269,9475,80893,71905
ENSGACG00000020287,219,223,398,533
ENSGACG00000020288,8066,7024,9655,11606
ENSGACG00000022183,0,0,9,21
ENSGACG00000021274,0,0,14,10
ENSGACG00000020289,2747,2050,4498,5334
ENSGACG00000020290,573,514,603,1112
ENSGACG00000020291,4301,3439,5247,5679
ENSGACG00000020292,7,4,12,10
ENSGACG00000020293,2,0,0,5
ENSGACG00000020294,38,46,18919,24265
ENSGACG00000020295,6,25,44,57
ENSGACG00000020296,6230,6302,8467,11205
ENSGACG00000020297,59,43,26,75
ENSGACG00000020298,6655,7964,17477,29487
ENSGACG00000020299,1128,1085,1736,2591
ENSGACG00000020300,93,61,98,135
ENSGACG00000020301,361,311,479,569
ENSGACG00000020302,78,82,100,147
ENSGACG00000020303,838,757,1042,1397
ENSGACG00000020304,197,131,301,229
ENSGACG00000020305,6,8,14,14
ENSGACG00000020306,2,1,11,4
ENSGACG00000020307,6,4,4,1
ENSGACG00000020308,441,331,379,426
ENSGACG00000020309,2,0,17,8
ENSGACG00000020310,92,92,138,155
ENSGACG00000020311,171,153,410,492
ENSGACG00000020312,32,22,38,9
ENSGACG00000020313,0,0,0,2
ENSGACG00000020314,15,19,0,6
ENSGACG00000020315,30,27,17,37
ENSGACG00000020316,16,22,30,18
ENSGACG00000020317,0,0,0,0
ENSGACG00000020318,4,6,0,2
ENSGACG00000020319,14792,6370,14407,18637
ENSGACG00000020320,115,55,405,137
ENSGACG00000020321,1,0,1,7
ENSGACG00000020322,6,8,17,9
ENSGACG00000020323,0,2,4,0
ENSGACG00000020324,23,18,34,43
ENSGACG00000020325,343,209,424,431
ENSGACG00000020326,11,12,26,10
ENSGACG00000020327,4633,3419,7095,8461
ENSGACG00000020328,211,180,253,321
ENSGACG00000020329,2,2,0,0
ENSGACG00000020330,15,3,14,25
ENSGACG00000020331,1421,1069,1960,2437
ENSGACG00000020332,468,333,851,763
ENSGACG00000022172,38,89,118,90
ENSGACG00000020333,19985,15182,33812,38344
ENSGACG00000020334,7,0,4,3
ENSGACG00000020335,18,26,46,66
ENSGACG00000020336,2102,1997,4555,4308
ENSGACG00000020337,807,797,1796,1773
ENSGACG00000020338,3,4,4,7
ENSGACG00000020339,725,550,991,1170
ENSGACG00000020340,3,0,0,10
ENSGACG00000020341,4041,3545,7004,7275
ENSGACG00000020342,2522,2606,5213,4696
ENSGACG00000020343,2,2,0,0
ENSGACG00000020344,484,378,730,1565
ENSGACG00000020345,1888,1478,2266,2505
ENSGACG00000020346,863,847,1712,1796
ENSGACG00000020347,569,515,891,871
ENSGACG00000020348,0,0,2,0
ENSGACG00000020349,10,11,17,26
ENSGACG00000020350,0,0,0,0
ENSGACG00000020351,16,21,20,14
ENSGACG00000020352,0,0,0,0
ENSGACG00000020353,1872,1529,2833,3173
ENSGACG00000020354,57,21,46,61
ENSGACG00000020355,28,14,41,43
ENSGACG00000020356,739,638,1426,1474
ENSGACG00000020357,9,24,12,28
ENSGACG00000020358,23762,20756,35271,30448
ENSGACG00000020359,529,427,964,849
ENSGACG00000020360,74,22,2,17
ENSGACG00000020361,15,7,11,8
ENSGACG00000020362,14,28,21,39
ENSGACG00000020363,89,53,88,90
ENSGACG00000020364,1259,1218,1601,3062
ENSGACG00000020365,0,0,9,25
ENSGACG00000020366,538,446,634,679
ENSGACG00000020367,3278,2513,4023,4412
ENSGACG00000020368,96,122,184,110
ENSGACG00000020369,328,501,470,634
ENSGACG00000020370,40,14,52,45
ENSGACG00000020371,151,39,132,306
ENSGACG00000020372,344,295,583,479
ENSGACG00000020373,141,152,292,228
ENSGACG00000020374,3002,2449,4414,4717
ENSGACG00000020375,565,323,839,772
ENSGACG00000020376,927,797,1539,1757
ENSGACG00000020377,2964,2309,4186,4134
ENSGACG00000022504,0,0,0,1
ENSGACG00000020378,744,757,1520,1570
ENSGACG00000020379,3200,2158,2992,3696
ENSGACG00000020380,23,16,24,62
ENSGACG00000020381,15,27,54,49
ENSGACG00000020382,1993,1695,3903,5344
ENSGACG00000020383,1470,1274,2072,2740
ENSGACG00000020384,314,253,402,514
ENSGACG00000020385,1,11,9,9
ENSGACG00000020386,555,390,717,1070
ENSGACG00000020387,5598,4400,7151,8241
ENSGACG00000020388,6,0,0,185
ENSGACG00000020389,5,4,4,2
ENSGACG00000020390,46,34,36,101
ENSGACG00000020391,13,11,29,20
ENSGACG00000020392,42,14,12,44
ENSGACG00000020393,63,61,57,133
ENSGACG00000020394,360,320,612,519
ENSGACG00000020395,1192,850,2020,1986
ENSGACG00000020396,1655,1139,2506,2822
ENSGACG00000020397,2548,1968,4209,4279
ENSGACG00000020398,0,0,2,12
ENSGACG00000020399,2,2,0,2
ENSGACG00000020400,422,419,623,696
ENSGACG00000020401,429,341,904,1279
ENSGACG00000020402,104,91,101,177
ENSGACG00000020403,102,45,28,62
ENSGACG00000020404,3670,2591,5089,4364
ENSGACG00000020405,480,402,657,590
ENSGACG00000020406,355,258,362,301
ENSGACG00000020407,2034,1839,2719,2555
ENSGACG00000020408,555,495,896,1031
ENSGACG00000020409,6,2,3,11
ENSGACG00000020410,14,10,13,17
ENSGACG00000020411,841,823,1018,1095
ENSGACG00000020412,1095,939,1703,1698
ENSGACG00000020413,125,57,141,84
ENSGACG00000020414,2543,1792,4837,4024
ENSGACG00000020415,94,63,79,126
ENSGACG00000020416,62,68,65,63
ENSGACG00000020417,67,44,142,244
ENSGACG00000020418,535,404,590,927
ENSGACG00000020419,94,91,107,85
ENSGACG00000020420,1631,1356,1811,1778
ENSGACG00000022227,1,0,0,0
ENSGACG00000021426,0,0,0,2
ENSGACG00000022268,0,0,1,1
ENSGACG00000020421,2463,1976,4247,4203
ENSGACG00000020422,29,16,147,14
ENSGACG00000020423,1125,527,304,392
ENSGACG00000020424,610,282,313,420
ENSGACG00000020425,1496,1135,2497,2686
ENSGACG00000020426,3082,2302,4498,4700
ENSGACG00000020427,480,456,844,903
ENSGACG00000020428,7,0,6,0
ENSGACG00000020429,416,402,222,309
ENSGACG00000020430,315,203,412,396
ENSGACG00000020431,259,338,363,642
ENSGACG00000020432,330,266,318,365
