,OneH_Tru,ThreeH_Tru,SixH_Tru,SevenH_Tru
ENSGACG00000016922,1759,1869,3261,5377
ENSGACG00000016923,9,8,6,18
ENSGACG00000016924,5240,4573,12658,11213
ENSGACG00000016927,4906,3881,10234,8774
ENSGACG00000016930,181,178,316,306
ENSGACG00000016933,3,0,4,8
ENSGACG00000016934,3180,2560,4261,4709
ENSGACG00000016958,1163,905,1711,1993
ENSGACG00000016967,2873,1990,3662,3884
ENSGACG00000016971,6,2,3,14
ENSGACG00000016974,36,44,77,76
ENSGACG00000016977,149,148,257,218
ENSGACG00000016978,1,7,3,2
ENSGACG00000016980,1980,1496,2420,3137
ENSGACG00000016999,17,6,14,34
ENSGACG00000017001,714,792,1396,1300
ENSGACG00000017004,974,1061,1827,1879
ENSGACG00000017006,314,279,686,620
ENSGACG00000017010,177,148,155,213
ENSGACG00000017013,320,238,438,480
ENSGACG00000017014,365,319,559,556
ENSGACG00000017015,8,10,4,14
ENSGACG00000017017,13,20,12,13
ENSGACG00000017018,647,484,922,905
ENSGACG00000017022,690,525,779,739
ENSGACG00000017027,181,211,506,443
ENSGACG00000017029,77,99,161,124
ENSGACG00000017031,196,204,288,378
ENSGACG00000017032,49649,38445,74983,72394
ENSGACG00000017040,452,423,554,670
ENSGACG00000017049,0,0,2,2
ENSGACG00000017051,1751,1497,2979,2673
ENSGACG00000017059,21,10,14,28
ENSGACG00000017062,138,124,176,222
ENSGACG00000017064,2683,2582,4980,4180
ENSGACG00000017074,603,693,941,1525
ENSGACG00000017076,20,16,10,9
ENSGACG00000017077,2395,2049,4830,4797
ENSGACG00000017078,0,6,0,0
ENSGACG00000017079,450,389,803,777
ENSGACG00000017080,370,319,670,690
ENSGACG00000017081,153,154,367,383
ENSGACG00000017083,1500,1762,2229,2267
ENSGACG00000017103,396,274,301,580
ENSGACG00000017106,445,403,732,656
ENSGACG00000017113,1,3,3,1
ENSGACG00000017117,314,215,263,411
ENSGACG00000017122,13,6,15,14
ENSGACG00000017127,757,719,1116,1156
ENSGACG00000017128,1304,1190,1832,2158
ENSGACG00000017135,32,8,18,25
ENSGACG00000017138,1251,900,1521,1421
ENSGACG00000017146,0,0,0,6
ENSGACG00000017153,1500,1045,1708,2029
ENSGACG00000017170,8,22,11,4
ENSGACG00000017174,550,745,349,360
ENSGACG00000017178,57,29,159,176
ENSGACG00000017181,0,2,0,2
ENSGACG00000017183,1217,1448,2046,2732
ENSGACG00000017189,1135,1518,2052,2312
ENSGACG00000017190,20,35,94,249
ENSGACG00000017195,26,24,37,34
ENSGACG00000017204,16,22,160,89
ENSGACG00000017211,0,4,2,0
ENSGACG00000017212,3,1,3,8
ENSGACG00000017216,0,2,3,0
ENSGACG00000017218,3961,3332,5660,6094
ENSGACG00000017237,6372,5610,11188,11055
ENSGACG00000017253,2403,2131,3790,4396
ENSGACG00000017257,118,47,114,94
ENSGACG00000017258,0,0,0,0
ENSGACG00000017263,3,0,0,0
ENSGACG00000017265,669,645,1063,1146
ENSGACG00000017268,595,576,385,636
ENSGACG00000017286,224,178,271,420
ENSGACG00000017288,4133,3785,7230,7063
ENSGACG00000017304,6,2,6,8
ENSGACG00000017306,55,31,41,65
ENSGACG00000017312,1654,1554,3256,3663
ENSGACG00000017316,942,1008,1228,1177
ENSGACG00000017318,19,2,32,20
ENSGACG00000017320,198,176,435,429
